127.0.0.1 - - [03/Aug/2022:11:18:49 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [03/Aug/2022:11:18:54 +0900] "GET /warehouse/ HTTP/1.1" 404 821
0:0:0:0:0:0:0:1 - - [03/Aug/2022:11:18:59 +0900] "GET /ddit HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Aug/2022:11:18:59 +0900] "GET /ddit/ HTTP/1.1" 200 115
0:0:0:0:0:0:0:1 - - [03/Aug/2022:11:18:59 +0900] "GET /ddit/common/loginForm.do HTTP/1.1" 200 3623
0:0:0:0:0:0:0:1 - - [03/Aug/2022:11:18:59 +0900] "GET /ddit/resources/js/common.js HTTP/1.1" 200 3845
0:0:0:0:0:0:0:1 - - [03/Aug/2022:11:18:59 +0900] "GET /ddit/resources/bootstrap/dist/js/adminlte.min.js HTTP/1.1" 200 46369
0:0:0:0:0:0:0:1 - - [03/Aug/2022:11:18:59 +0900] "GET /ddit/resources/bootstrap/plugins/jquery/jquery.min.js HTTP/1.1" 200 89501
0:0:0:0:0:0:0:1 - - [03/Aug/2022:11:18:59 +0900] "GET /ddit/resources/bootstrap/plugins/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 83253
0:0:0:0:0:0:0:1 - - [03/Aug/2022:11:18:59 +0900] "GET /ddit/resources/bootstrap/dist/css/adminlte.min.css HTTP/1.1" 200 1396747
0:0:0:0:0:0:0:1 - - [03/Aug/2022:11:18:59 +0900] "GET /ddit/resources/bootstrap/plugins/summernote/summernote-bs4.min.js HTTP/1.1" 200 153030
0:0:0:0:0:0:0:1 - - [03/Aug/2022:11:18:59 +0900] "GET /ddit/resources/bootstrap/plugins/fontawesome-free/css/all.min.css HTTP/1.1" 200 59305
0:0:0:0:0:0:0:1 - - [03/Aug/2022:11:19:03 +0900] "POST /ddit/common/login.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Aug/2022:11:19:03 +0900] "GET /ddit/index.do HTTP/1.1" 200 12653
0:0:0:0:0:0:0:1 - - [03/Aug/2022:11:19:03 +0900] "GET /ddit/dist/img/user8-128x128.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [03/Aug/2022:11:19:03 +0900] "GET /ddit/dist/img/user1-128x128.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [03/Aug/2022:11:19:03 +0900] "GET /ddit/dist/img/user3-128x128.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [03/Aug/2022:11:19:03 +0900] "GET /ddit/resources/bootstrap/dist/img/AdminLTELogo.png HTTP/1.1" 200 2637
0:0:0:0:0:0:0:1 - - [03/Aug/2022:11:19:03 +0900] "GET /ddit/member/getPicture.do?id=mimi HTTP/1.1" 500 46
0:0:0:0:0:0:0:1 - - [03/Aug/2022:11:19:03 +0900] "GET /ddit/resources/bootstrap/plugins/fontawesome-free/webfonts/fa-regular-400.woff2 HTTP/1.1" 200 13224
0:0:0:0:0:0:0:1 - - [03/Aug/2022:11:19:03 +0900] "GET /ddit/resources/bootstrap/plugins/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 78268
0:0:0:0:0:0:0:1 - - [03/Aug/2022:11:19:03 +0900] "GET /ddit/main.do HTTP/1.1" 200 1185
0:0:0:0:0:0:0:1 - - [03/Aug/2022:11:19:06 +0900] "GET /ddit/main.do HTTP/1.1" 200 1185
0:0:0:0:0:0:0:1 - - [03/Aug/2022:11:19:07 +0900] "GET /ddit/member/main.do HTTP/1.1" 200 1198
0:0:0:0:0:0:0:1 - - [03/Aug/2022:11:19:07 +0900] "GET /ddit/subMenu.do?mCode=M010000 HTTP/1.1" 200 136
0:0:0:0:0:0:0:1 - - [03/Aug/2022:11:19:08 +0900] "GET /ddit/member/list.do HTTP/1.1" 200 9671
0:0:0:0:0:0:0:1 - - [03/Aug/2022:11:19:08 +0900] "GET /ddit/member/getPicture.do?id=mimi HTTP/1.1" 500 46
0:0:0:0:0:0:0:1 - - [03/Aug/2022:11:19:08 +0900] "GET /ddit/member/getPicture.do?id=toto HTTP/1.1" 500 46
0:0:0:0:0:0:0:1 - - [03/Aug/2022:11:19:08 +0900] "GET /ddit/member/getPicture.do?id=remon HTTP/1.1" 500 46
0:0:0:0:0:0:0:1 - - [03/Aug/2022:11:19:08 +0900] "GET /ddit/member/getPicture.do?id=mama HTTP/1.1" 500 46
0:0:0:0:0:0:0:1 - - [03/Aug/2022:11:19:08 +0900] "GET /ddit/member/getPicture.do?id=momo HTTP/1.1" 201 47705
0:0:0:0:0:0:0:1 - - [03/Aug/2022:11:19:08 +0900] "GET /ddit/member/getPicture.do?id=mumu HTTP/1.1" 500 46
0:0:0:0:0:0:0:1 - - [03/Aug/2022:11:19:08 +0900] "GET /ddit/member/getPicture.do?id=lala HTTP/1.1" 201 780831
0:0:0:0:0:0:0:1 - - [03/Aug/2022:11:19:09 +0900] "GET /ddit/member/excel.do HTTP/1.1" 200 9528
